"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Shopping-website\backend\database\database.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Shopping-website\backend\database\schema\Product.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Shopping-website\backend\database\schema\Profile.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Shopping-website\backend\database\schema\User.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Shopping-website\backend\dist\database\database.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Shopping-website\backend\dist\database\schema\Product.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"c:\Shopping-website\backend\dist\database\schema\Profile.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"c:\Shopping-website\backend\dist\database\schema\User.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Shopping-website\backend\dist\index.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 4, 1, 36
"c:\Shopping-website\backend\dist\middleware\middleware.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 55
"c:\Shopping-website\backend\dist\routes\authRoutes\index.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Shopping-website\backend\dist\routes\authRoutes\product.js", "JavaScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 1, 83
"c:\Shopping-website\backend\dist\routes\authRoutes\profile.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\Shopping-website\backend\dist\routes\login.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 1, 1, 43
"c:\Shopping-website\backend\dist\routes\register.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 0, 2, 1, 77
"c:\Shopping-website\backend\dist\setup\passport-config.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Shopping-website\backend\index.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 4, 6, 38
"c:\Shopping-website\backend\middleware\middleware.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 11, 47
"c:\Shopping-website\backend\package-lock.json", "JSON", 2611, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2612
"c:\Shopping-website\backend\package.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Shopping-website\backend\routes\authRoutes\index.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Shopping-website\backend\routes\authRoutes\product.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 15, 78
"c:\Shopping-website\backend\routes\authRoutes\profile.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Shopping-website\backend\routes\login.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 1, 10, 37
"c:\Shopping-website\backend\routes\register.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 2, 12, 71
"c:\Shopping-website\backend\setup\passport-config.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Shopping-website\backend\tsconfig.json", "JSON with Comments", 0, 11, 0, 0, 0, 0, 0, 0, 90, 9, 110
"c:\Shopping-website\frontend\.eslintrc.cjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Shopping-website\frontend\cypress.config.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
